code,uri,label,definition,name_en,name_fr,name_es,name_ar,name_cn,name_ru,isscaap_group_code,taxon_scientific_name,taxon_code,taxon_author,taxon_family,taxon_order
YCL,,Blue sucker,Cycleptus elongatus,Blue sucker,,,,,,11,Cycleptus elongatus,140001000101,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
DEU,,Lost River sucker,Deltistes luxatus,Lost River sucker,,,,,,11,Deltistes luxatus,140001000201,(Cope 1879),CATOSTOMIDAE,CYPRINIFORMES
ATC,,Longnose sucker,Catostomus catostomus,Longnose sucker,,,,,,11,Catostomus catostomus,140001000401,(Forster 1773),CATOSTOMIDAE,CYPRINIFORMES
ATO,,White sucker,Catostomus commersoni,White sucker,,,,,,11,Catostomus commersoni,140001000402,(Lacépède 1803),CATOSTOMIDAE,CYPRINIFORMES
ATS,,Flannelmouth sucker,Catostomus latipinnis,Flannelmouth sucker,,,,,,11,Catostomus latipinnis,140001000403,Baird & Girard 1853,CATOSTOMIDAE,CYPRINIFORMES
ATU,,Largescale sucker,Catostomus macrocheilus,Largescale sucker,,,,,,11,Catostomus macrocheilus,140001000404,Girard 1856,CATOSTOMIDAE,CYPRINIFORMES
ATE,,Tahoe sucker,Catostomus tahoensis,Tahoe sucker,,,,,,11,Catostomus tahoensis,140001000405,Gill & Jordan 1878,CATOSTOMIDAE,CYPRINIFORMES
MOG,,Gray redhorse,Moxostoma congestum,Gray redhorse,,,,,,11,Moxostoma congestum,140001000601,(Baird & Girard 1854),CATOSTOMIDAE,CYPRINIFORMES
MOE,,Golden redhorse,Moxostoma erythrurum,Golden redhorse,,,,,,11,Moxostoma erythrurum,140001000602,(Rafinesque 1818),CATOSTOMIDAE,CYPRINIFORMES
MOM,,Shorthead redhorse,Moxostoma macrolepidotum,Shorthead redhorse,,,,,,11,Moxostoma macrolepidotum,140001000603,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
LAL,,Harelip sucker,Lagochila lacera,Harelip sucker,,,,,,11,Lagochila lacera,140001000901,Jordan & Brayton 1877-78,CATOSTOMIDAE,CYPRINIFORMES
BUB,,Bigmouth buffalo,Ictiobus cyprinellus,Bigmouth buffalo,Poisson-taureau,,,大口胭脂鱼,,11,Ictiobus cyprinellus,140001001101,(Valenciennes 1844),CATOSTOMIDAE,CYPRINIFORMES
