"code","uri","label","definition","label_en","label_fr","label_es","country","tocheck"
"ABW",NA,"Aruba",NA,"Aruba","Aruba","Aruba","Netherlands","Yes"
"AGO",NA,"Angola",NA,"Angola","Angola","Angola","Angola","Yes"
"AIA",NA,"Anguilla",NA,"Anguilla","Anguilla","Anguila","UK","Yes"
"ALB",NA,"Albania",NA,"Albania","Albanie","Albania","Albania","Yes"
"ARE",NA,"United Arab Emirates",NA,"United Arab Emirates","Émirats arabes unis","Emiratos Árabes Unidos","United Arab Emirates","Yes"
"ARG",NA,"Argentina",NA,"Argentina","Argentine","Argentina","Argentina","Yes"
"ASM",NA,"American Samoa",NA,"American Samoa","Samoa américaines","Samoa Americana","United States of America","Yes"
"ATG",NA,"Antigua and Barbuda",NA,"Antigua and Barbuda","Antigua-et-Barbuda","Antigua y Barbuda","Antigua and Barbuda","Yes"
"AUS",NA,"Australia",NA,"Australia","Australie","Australia","Australia","Yes"
"BEN",NA,"Benin",NA,"Benin","Bénin","Benin","Benin","Yes"
"BGD",NA,"Bangladesh",NA,"Bangladesh","Bangladesh","Bangladesh","Bangladesh","Yes"
"BHR",NA,"Bahrain",NA,"Bahrain","Bahreïn","Bahrein","Bahrain","Yes"
"BHS",NA,"Bahamas",NA,"Bahamas","Bahamas","Bahamas","Bahamas","Yes"
"BLR",NA,"Belarus",NA,"Belarus","Bélarus","Belarús","Belarus","Yes"
"BLZ",NA,"Belize",NA,"Belize","Belize","Belice","Belize","Yes"
"BMU",NA,"Bermuda",NA,"Bermuda","Bermudes","Bermudas","UK","Yes"
"BOL",NA,"Bolivia (Plurinat.State)",NA,"Bolivia (Plurinat.State)","Bolivie (État plurinat.)","Bolivia (Estado Plurin.)","Bolivia ","Yes"
"BRA",NA,"Brazil",NA,"Brazil","Brésil","Brasil","Brazil","Yes"
"BRB",NA,"Barbados",NA,"Barbados","Barbade","Barbados","Barbados","Yes"
"CAN",NA,"Canada",NA,"Canada","Canada","Canadá","Canada","Yes"
"CHE",NA,"Switzerland",NA,"Switzerland","Suisse","Suiza","Switzerland","Yes"
"CHL",NA,"Chile",NA,"Chile","Chili","Chile","Chile","Yes"
"CHN",NA,"China",NA,"China","Chine","China","China","Yes"
"CIV",NA,"Côte d'Ivoire",NA,"Côte d'Ivoire","Côte d'Ivoire","Côte d'Ivoire","Côte d'Ivoire","Yes"
"CMR",NA,"Cameroon",NA,"Cameroon","Cameroun","Camerún","Cameroon","Yes"
"COG",NA,"Congo, Republic of",NA,"Congo, Republic of","République du Congo","República del Congo","Congo, Republic of","Yes"
"COK",NA,"Cook Islands",NA,"Cook Islands","Îles Cook","Islas Cook","New Zealand","Yes"
"COL",NA,"Colombia",NA,"Colombia","Colombie","Colombia","Colombia","Yes"
"COM",NA,"Comoros",NA,"Comoros","Comores","Comoras","Comoros","Yes"
"CPV",NA,"Cabo Verde",NA,"Cabo Verde","Cabo Verde","Cabo Verde","Cabo Verde","Yes"
"CRI",NA,"Costa Rica",NA,"Costa Rica","Costa Rica","Costa Rica","Costa Rica","Yes"
"CUB",NA,"Cuba",NA,"Cuba","Cuba","Cuba","Cuba","Yes"
"CUW",NA,"Curaçao",NA,"Curaçao","Curaçao","Curaçao","Curaçao","Yes"
"CYM",NA,"Cayman Islands",NA,"Cayman Islands","Îles Caïmanes","Islas Caimán","UK","Yes"
"DDR",NA,"German Democratic Republic",NA,"German Democratic Republic","République démocratique allemande","República democrática alemana","German Democratic Republic","Yes"
"DJI",NA,"Djibouti",NA,"Djibouti","Djibouti","Djibouti","Djibouti","Yes"
"DMA",NA,"Dominica",NA,"Dominica","Dominique","Dominica","Dominica","Yes"
"DOM",NA,"Dominican Republic",NA,"Dominican Republic","République dominicaine","República Dominicana","Dominican Republic","Yes"
"DZA",NA,"Algeria",NA,"Algeria","Algérie","Argelia","Algeria","Yes"
"ECU",NA,"Ecuador",NA,"Ecuador","Équateur","Ecuador","Ecuador","Yes"
"EGY",NA,"Egypt",NA,"Egypt","Égypte","Egipto","Egypt","Yes"
"ERI",NA,"Eritrea",NA,"Eritrea","Érythrée","Eritrea","Eritrea","Yes"
"EUBEL",NA,"Belgium (EU)",NA,"Belgium (EU)","Belgique (UE)","Bélgica (UE)","Belgium ","Yes"
"EUBGR",NA,"Bulgaria (EU)",NA,"Bulgaria (EU)","Bulgarie (UE)","Bulgaria (UE)","Bulgaria ","Yes"
"EUCYP",NA,"Cyprus (EU)",NA,"Cyprus (EU)","Chypre (UE)","Chipre (UE)","Cyprus ","Yes"
"EUDEU",NA,"Germany (EU)",NA,"Germany (EU)","Allemagne (UE)","Alemania (UE)","Germany ","Yes"
"EUDNK",NA,"Denmark (EU)",NA,"Denmark (EU)","Danemark (UE)","Dinamarca (UE)","Denmark ","Yes"
"EUESP",NA,"Spain (EU)",NA,"Spain (EU)","Espagne (UE)","España (UE)","Spain ","Yes"
"EUEST",NA,"Estonia (EU)",NA,"Estonia (EU)","Estonie (UE)","Estonia (UE)","Estonia ","Yes"
"EUFRA",NA,"France (EU)",NA,"France (EU)","France (UE)","Francia (UE)","France ","Yes"
"EUGBR",NA,"United Kingdom (EU)",NA,"United Kingdom (EU)","Royaume-Uni (UE)","Reino Unido (UE)","United Kingdom ","Yes"
"EUGRC",NA,"Greece (EU)",NA,"Greece (EU)","Grèce (UE)","Grecia (UE)","Greece ","Yes"
"EUHRV",NA,"Croatia (EU)",NA,"Croatia (EU)","Croatie (UE)","Croacia (UE)","Croatia ","Yes"
"EUIRL",NA,"Ireland (EU)",NA,"Ireland (EU)","Irlande (UE)","Irlanda (UE)","Ireland ","Yes"
"EUITA",NA,"Italy (EU)",NA,"Italy (EU)","Italie (UE)","Italia (UE)","Italy ","Yes"
"EULTU",NA,"Lithuania (EU)",NA,"Lithuania (EU)","Lituanie (UE)","Lituania (UE)","Lithuania ","Yes"
"EULVA",NA,"Latvia (EU)",NA,"Latvia (EU)","Lettonie (UE)","Letonia (UE)","Latvia ","Yes"
"EUMLT",NA,"Malta (EU)",NA,"Malta (EU)","Malte (UE)","Malta (UE)","Malta ","Yes"
"EUNLD",NA,"Netherlands (EU)",NA,"Netherlands (EU)","Pays-Bas (UE)","Países Bajos (UE)","Netherlands ","Yes"
"EUPOL",NA,"Poland (EU)",NA,"Poland (EU)","Pologne (UE)","Polonia (UE)","Poland ","Yes"
"EUPRT",NA,"Portugal (EU)",NA,"Portugal (EU)","Portugal (UE)","Portugal (UE)","Portugal ","Yes"
"EUR",NA,"European Union",NA,"European Union","Union européenne","Unión europea","European Union","Yes"
"EUROU",NA,"Romania (EU)",NA,"Romania (EU)","Roumanie (UE)","Rumania (UE)","Romania ","Yes"
"EUSVN",NA,"Slovenia (EU)",NA,"Slovenia (EU)","Slovénie (UE)","Eslovenia (UE)","Slovenia ","Yes"
"EUSWE",NA,"Sweden (EU)",NA,"Sweden (EU)","Suède (UE)","Suecia (UE)","Sweden ","Yes"
"FJI",NA,"Fiji, Republic of",NA,"Fiji, Republic of","République des Fidji","República de Fiji","Fiji, Republic of","Yes"
"FLK",NA,"Falkland Is.(Malvinas)",NA,"Falkland Is.(Malvinas)","Îles Falkland(Malvinas)","Islas Malvinas(Falkland)","UK","Yes"
"FRAT",NA,"France (territories)",NA,"France (territories)","France (territoires)","Francia (territorios)","France ","Yes"
"FRO",NA,"Faroe Islands",NA,"Faroe Islands","Îles Féroé","Islas Feroe","Denmark","Yes"
"FSM",NA,"Micronesia,Fed.States of",NA,"Micronesia,Fed.States of","Micronésie(États féd.de)","Micronesia(Estados Fed.)","Micronesia,Fed.States of","Yes"
"GAB",NA,"Gabon",NA,"Gabon","Gabon","Gabón","Gabon","Yes"
"GBR",NA,"United Kingdom",NA,"United Kingdom","Royaume-Uni","Reino Unido","United Kingdom","Yes"
"GBRT",NA,"UK (territories)",NA,"UK (territories)","Royaume-Uni (territoires)","Reino Unido (territorios)","UK ","Yes"
"GEO",NA,"Georgia",NA,"Georgia","Géorgie","Georgia","Georgia","Yes"
"GHA",NA,"Ghana",NA,"Ghana","Ghana","Ghana","Ghana","Yes"
"GIN",NA,"Guinea",NA,"Guinea","Guinée","Guinea","Guinea","Yes"
"GMB",NA,"Gambia",NA,"Gambia","Gambie","Gambia","Gambia","Yes"
"GNB",NA,"Guinea-Bissau",NA,"Guinea-Bissau","Guinée-Bissau","Guinea-Bissau","Guinea-Bissau","Yes"
"GNQ",NA,"Equatorial Guinea",NA,"Equatorial Guinea","Guinée équatoriale","Guinea Ecuatorial","Equatorial Guinea","Yes"
"GRD",NA,"Grenada",NA,"Grenada","Grenade","Granada","Grenada","Yes"
"GTM",NA,"Guatemala",NA,"Guatemala","Guatemala","Guatemala","Guatemala","Yes"
"GUM",NA,"Guam",NA,"Guam","Guam","Guam","United States of America","Yes"
"GUY",NA,"Guyana",NA,"Guyana","Guyana","Guyana","Guyana","Yes"
"HND",NA,"Honduras",NA,"Honduras","Honduras","Honduras","Honduras","Yes"
"HTI",NA,"Haiti",NA,"Haiti","Haïti","Haití","Haiti","Yes"
"IDN",NA,"Indonesia",NA,"Indonesia","Indonésie","Indonesia","Indonesia","Yes"
"IND",NA,"India",NA,"India","Inde","India","India","Yes"
"IRN",NA,"Iran (Islamic Rep. of)",NA,"Iran (Islamic Rep. of)","Iran (Rép. islamique d')","Irán (Rep. Islámica del)","Iran ","Yes"
"ISL",NA,"Iceland",NA,"Iceland","Islande","Islandia","Iceland","Yes"
"ISR",NA,"Israel",NA,"Israel","Israël","Israel","Israel","Yes"
"JAM",NA,"Jamaica",NA,"Jamaica","Jamaïque","Jamaica","Jamaica","Yes"
