"src_code","trg_code","src_codingsystem","trg_codingsystem"
"AU","AUS","flag_ccsbt","fishingfleet_firms"
"ID","IDN","flag_ccsbt","fishingfleet_firms"
"JP","JPN","flag_ccsbt","fishingfleet_firms"
"KR","KOR","flag_ccsbt","fishingfleet_firms"
"NZ","NZL","flag_ccsbt","fishingfleet_firms"
"PH","PHL","flag_ccsbt","fishingfleet_firms"
"TW","TWN","flag_ccsbt","fishingfleet_firms"
"ZA","ZAF","flag_ccsbt","fishingfleet_firms"
"CC","NEI","flag_ccsbt","fishingfleet_firms"
"??","NEI","flag_ccsbt","fishingfleet_firms"
"ES","EUR","flag_ccsbt","fishingfleet_firms"
