"src_code","trg_code","src_codingsystem","trg_codingsystem"
"BLZ","BLZ","flag_iattc","fishingfleet_firms"
"BMU","BMU","flag_iattc","fishingfleet_firms"
"BOL","BOL","flag_iattc","fishingfleet_firms"
"CAN","CAN","flag_iattc","fishingfleet_firms"
"CHL","CHL","flag_iattc","fishingfleet_firms"
"CHN","CHN","flag_iattc","fishingfleet_firms"
"COG","COG","flag_iattc","fishingfleet_firms"
"COK","COK","flag_iattc","fishingfleet_firms"
"COL","COL","flag_iattc","fishingfleet_firms"
"CRI","CRI","flag_iattc","fishingfleet_firms"
"CYM","CYM","flag_iattc","fishingfleet_firms"
"CYP","EUCYP","flag_iattc","fishingfleet_firms"
"DEU","EUDEU","flag_iattc","fishingfleet_firms"
"ECU","ECU","flag_iattc","fishingfleet_firms"
"ESP","EUESP","flag_iattc","fishingfleet_firms"
"EU (ESP)","EUESP","flag_iattc","fishingfleet_firms"
"EU","EUR","flag_iattc","fishingfleet_firms"
"FRA","EUFRA","flag_iattc","fishingfleet_firms"
"FRA (PYF)","EUFRA","flag_iattc","fishingfleet_firms"
"FSM","FSM","flag_iattc","fishingfleet_firms"
"GBR","GBR","flag_iattc","fishingfleet_firms"
"GEO","GEO","flag_iattc","fishingfleet_firms"
"GTM","GTM","flag_iattc","fishingfleet_firms"
"HND","HND","flag_iattc","fishingfleet_firms"
"IDN","IDN","flag_iattc","fishingfleet_firms"
"ITA","EUITA","flag_iattc","fishingfleet_firms"
"JPN","JPN","flag_iattc","fishingfleet_firms"
"KOR","KOR","flag_iattc","fishingfleet_firms"
"LBR","LBR","flag_iattc","fishingfleet_firms"
"MEX","MEX","flag_iattc","fishingfleet_firms"
"NIC","NIC","flag_iattc","fishingfleet_firms"
"NLD","EUNLD","flag_iattc","fishingfleet_firms"
"NOR","NOR","flag_iattc","fishingfleet_firms"
"NZL","NZL","flag_iattc","fishingfleet_firms"
"OTR","NEI","flag_iattc","fishingfleet_firms"
"PAN","PAN","flag_iattc","fishingfleet_firms"
"PER","PER","flag_iattc","fishingfleet_firms"
"POL","EUPOL","flag_iattc","fishingfleet_firms"
"PRT","EUPRT","flag_iattc","fishingfleet_firms"
"EU (PRT)","EUPRT","flag_iattc","fishingfleet_firms"
"PYF","EUFRA","flag_iattc","fishingfleet_firms"
"RUS","RUS","flag_iattc","fishingfleet_firms"
"SEN","SEN","flag_iattc","fishingfleet_firms"
"SLB","SLB","flag_iattc","fishingfleet_firms"
"SLV","SLV","flag_iattc","fishingfleet_firms"
"SYC","SYC","flag_iattc","fishingfleet_firms"
"TWN","TWN","flag_iattc","fishingfleet_firms"
"UNK","NEI","flag_iattc","fishingfleet_firms"
"URY","URY","flag_iattc","fishingfleet_firms"
"USA","USA","flag_iattc","fishingfleet_firms"
"VCT","VCT","flag_iattc","fishingfleet_firms"
"VEN","VEN","flag_iattc","fishingfleet_firms"
"VUT","VUT","flag_iattc","fishingfleet_firms"
"YUG","YUG","flag_iattc","fishingfleet_firms"
"Other","NEI","flag_iattc","fishingfleet_firms"
