"src_code","trg_code","src_codingsystem","trg_codingsystem"
"ABW","ABW","flag_iccat","fishingfleet_firms"
"AGO","AGO","flag_iccat","fishingfleet_firms"
"AIA","AIA","flag_iccat","fishingfleet_firms"
"ALB","ALB","flag_iccat","fishingfleet_firms"
"ARE","ARE","flag_iccat","fishingfleet_firms"
"ARG","ARG","flag_iccat","fishingfleet_firms"
"ATG","ATG","flag_iccat","fishingfleet_firms"
"AUS","AUS","flag_iccat","fishingfleet_firms"
"BEN","BEN","flag_iccat","fishingfleet_firms"
"BHS","BHS","flag_iccat","fishingfleet_firms"
"BLR","BLR","flag_iccat","fishingfleet_firms"
"BLZ","BLZ","flag_iccat","fishingfleet_firms"
"BLZ.Obs","BLZ","flag_iccat","fishingfleet_firms"
"BOL","BOL","flag_iccat","fishingfleet_firms"
"BRA","BRA","flag_iccat","fishingfleet_firms"
"BRB","BRB","flag_iccat","fishingfleet_firms"
"CAN","CAN","flag_iccat","fishingfleet_firms"
"CHE","CHE","flag_iccat","fishingfleet_firms"
"CHL","CHL","flag_iccat","fishingfleet_firms"
"CHN","CHN","flag_iccat","fishingfleet_firms"
"CHN.ICCAT","CHN","flag_iccat","fishingfleet_firms"
"CIV","CIV","flag_iccat","fishingfleet_firms"
"CMR","CMR","flag_iccat","fishingfleet_firms"
"COG","COG","flag_iccat","fishingfleet_firms"
"COK","COK","flag_iccat","fishingfleet_firms"
"COL","COL","flag_iccat","fishingfleet_firms"
"CPV","CPV","flag_iccat","fishingfleet_firms"
"CRI","CRI","flag_iccat","fishingfleet_firms"
"CUB","CUB","flag_iccat","fishingfleet_firms"
"CUB.ICCAT","CUB","flag_iccat","fishingfleet_firms"
"CUW","CUW","flag_iccat","fishingfleet_firms"
"CYM","CYM","flag_iccat","fishingfleet_firms"
"DDR","DDR","flag_iccat","fishingfleet_firms"
"DMA","DMA","flag_iccat","fishingfleet_firms"
"DOM","DOM","flag_iccat","fishingfleet_firms"
"DZA","DZA","flag_iccat","fishingfleet_firms"
"ECU","ECU","flag_iccat","fishingfleet_firms"
"EGY","EGY","flag_iccat","fishingfleet_firms"
"EU","EUR","flag_iccat","fishingfleet_firms"
"EU.BEL","EUBEL","flag_iccat","fishingfleet_firms"
"EU.BGR","EUBGR","flag_iccat","fishingfleet_firms"
"EU.CYP","EUCYP","flag_iccat","fishingfleet_firms"
"EU.DEU","EUDEU","flag_iccat","fishingfleet_firms"
"EU.DNK","EUDNK","flag_iccat","fishingfleet_firms"
"EU.ESP","EUESP","flag_iccat","fishingfleet_firms"
"EU.EST","EUEST","flag_iccat","fishingfleet_firms"
"EU.FRA","EUFRA","flag_iccat","fishingfleet_firms"
"EU.GRC","EUGRC","flag_iccat","fishingfleet_firms"
"EU.HRV","EUHRV","flag_iccat","fishingfleet_firms"
"EU.IRL","EUIRL","flag_iccat","fishingfleet_firms"
"EU.ITA","EUITA","flag_iccat","fishingfleet_firms"
"EU.LTU","EULTU","flag_iccat","fishingfleet_firms"
"EU.LVA","EULVA","flag_iccat","fishingfleet_firms"
"EU.MLT","EUMLT","flag_iccat","fishingfleet_firms"
"EU.NLD","EUNLD","flag_iccat","fishingfleet_firms"
"EU.POL","EUPOL","flag_iccat","fishingfleet_firms"
"EU.PRT","EUPRT","flag_iccat","fishingfleet_firms"
"EU.ROU","EUROU","flag_iccat","fishingfleet_firms"
"EU.SVN","EUSVN","flag_iccat","fishingfleet_firms"
"EU.SWE","EUSWE","flag_iccat","fishingfleet_firms"
"EU.UK","EUGBR","flag_iccat","fishingfleet_firms"
"FJI","FJI","flag_iccat","fishingfleet_firms"
"FLK","FLK","flag_iccat","fishingfleet_firms"
"FR.SPM","SPM","flag_iccat","fishingfleet_firms"
"FRO","FRO","flag_iccat","fishingfleet_firms"
"FSM","FSM","flag_iccat","fishingfleet_firms"
"GAB","GAB","flag_iccat","fishingfleet_firms"
"GEO","GEO","flag_iccat","fishingfleet_firms"
"GHA","GHA","flag_iccat","fishingfleet_firms"
"GHA.ICCAT","GHA","flag_iccat","fishingfleet_firms"
"GIN","GIN","flag_iccat","fishingfleet_firms"
"GMB","GMB","flag_iccat","fishingfleet_firms"
"GNB","GNB","flag_iccat","fishingfleet_firms"
"GNQ","GNQ","flag_iccat","fishingfleet_firms"
"GRD","GRD","flag_iccat","fishingfleet_firms"
"GTM","GTM","flag_iccat","fishingfleet_firms"
"GUM","GUM","flag_iccat","fishingfleet_firms"
"GUY","GUY","flag_iccat","fishingfleet_firms"
"HND","HND","flag_iccat","fishingfleet_firms"
"HND.Obs","HND","flag_iccat","fishingfleet_firms"
"HTI","HTI","flag_iccat","fishingfleet_firms"
"ICCAT-RMA","NEI","flag_iccat","fishingfleet_firms"
"IDN","IDN","flag_iccat","fishingfleet_firms"
"IND","IND","flag_iccat","fishingfleet_firms"
