"src_code","trg_code","src_codingsystem","trg_codingsystem"
"ARE","ARE","flag_iotc","fishingfleet_firms"
"AUS","AUS","flag_iotc","fishingfleet_firms"
"BGD","BGD","flag_iotc","fishingfleet_firms"
"BHR","BHR","flag_iotc","fishingfleet_firms"
"BLZ","BLZ","flag_iotc","fishingfleet_firms"
"CHN","CHN","flag_iotc","fishingfleet_firms"
"COM","COM","flag_iotc","fishingfleet_firms"
"DJI","DJI","flag_iotc","fishingfleet_firms"
"EGY","EGY","flag_iotc","fishingfleet_firms"
"ERI","ERI","flag_iotc","fishingfleet_firms"
"EUBGR","EUBGR","flag_iotc","fishingfleet_firms"
"EUDEU","EUDEU","flag_iotc","fishingfleet_firms"
"EUESP","EUESP","flag_iotc","fishingfleet_firms"
"EUFRA","EUFRA","flag_iotc","fishingfleet_firms"
"EUGBR","EUGBR","flag_iotc","fishingfleet_firms"
"EUITA","EUITA","flag_iotc","fishingfleet_firms"
"EUMYT","EUFRA","flag_iotc","fishingfleet_firms"
"EUNLD","EUNLD","flag_iotc","fishingfleet_firms"
"EUPRT","EUPRT","flag_iotc","fishingfleet_firms"
"EUREU","EUFRA","flag_iotc","fishingfleet_firms"
"FRAT","FRAT","flag_iotc","fishingfleet_firms"
"GBR","GBR","flag_iotc","fishingfleet_firms"
"GBRT","GBRT","flag_iotc","fishingfleet_firms"
"GIN","GIN","flag_iotc","fishingfleet_firms"
"IDN","IDN","flag_iotc","fishingfleet_firms"
"IND","IND","flag_iotc","fishingfleet_firms"
"IRN","IRN","flag_iotc","fishingfleet_firms"
"ISR","ISR","flag_iotc","fishingfleet_firms"
"JOR","JOR","flag_iotc","fishingfleet_firms"
"JPN","JPN","flag_iotc","fishingfleet_firms"
"KEN","KEN","flag_iotc","fishingfleet_firms"
"KOR","KOR","flag_iotc","fishingfleet_firms"
"KWT","KWT","flag_iotc","fishingfleet_firms"
"LKA","LKA","flag_iotc","fishingfleet_firms"
"MDG","MDG","flag_iotc","fishingfleet_firms"
"MDV","MDV","flag_iotc","fishingfleet_firms"
"MMR","MMR","flag_iotc","fishingfleet_firms"
"MOZ","MOZ","flag_iotc","fishingfleet_firms"
"MUS","MUS","flag_iotc","fishingfleet_firms"
"MYS","MYS","flag_iotc","fishingfleet_firms"
"NEICE","NEI","flag_iotc","fishingfleet_firms"
"NEIDN","NEI","flag_iotc","fishingfleet_firms"
"NEIFR","NEI","flag_iotc","fishingfleet_firms"
"NEIPS","NEI","flag_iotc","fishingfleet_firms"
"NEISU","NEI","flag_iotc","fishingfleet_firms"
"OMN","OMN","flag_iotc","fishingfleet_firms"
"PAK","PAK","flag_iotc","fishingfleet_firms"
"PHL","PHL","flag_iotc","fishingfleet_firms"
"QAT","QAT","flag_iotc","fishingfleet_firms"
"SAU","SAU","flag_iotc","fishingfleet_firms"
"SDN","SDN","flag_iotc","fishingfleet_firms"
"SEN","SEN","flag_iotc","fishingfleet_firms"
"SOM","SOM","flag_iotc","fishingfleet_firms"
"SUN","SUN","flag_iotc","fishingfleet_firms"
"SYC","SYC","flag_iotc","fishingfleet_firms"
"THA","THA","flag_iotc","fishingfleet_firms"
"TMP","TLS","flag_iotc","fishingfleet_firms"
"TWN","TWN","flag_iotc","fishingfleet_firms"
"TZA","TZA","flag_iotc","fishingfleet_firms"
"VUT","VUT","flag_iotc","fishingfleet_firms"
"YEM","YEM","flag_iotc","fishingfleet_firms"
"ZAF","ZAF","flag_iotc","fishingfleet_firms"
