"src_code","trg_code","src_codingsystem","trg_codingsystem"
"ALL","NEI","flag_wcpfc","fishingfleet_firms"
"AS","ASM","flag_wcpfc","fishingfleet_firms"
"AU","AUS","flag_wcpfc","fishingfleet_firms"
"BZ","BLZ","flag_wcpfc","fishingfleet_firms"
"CA","CAN","flag_wcpfc","fishingfleet_firms"
"CK","COK","flag_wcpfc","fishingfleet_firms"
"CN","CHN","flag_wcpfc","fishingfleet_firms"
"EC","ECU","flag_wcpfc","fishingfleet_firms"
"EN","NEI","flag_wcpfc","fishingfleet_firms"
"EP","NEI","flag_wcpfc","fishingfleet_firms"
"ES","EUESP","flag_wcpfc","fishingfleet_firms"
"FJ","FJI","flag_wcpfc","fishingfleet_firms"
"FM","FSM","flag_wcpfc","fishingfleet_firms"
"ID","IDN","flag_wcpfc","fishingfleet_firms"
"JP","JPN","flag_wcpfc","fishingfleet_firms"
"KI","KIR","flag_wcpfc","fishingfleet_firms"
"KR","KOR","flag_wcpfc","fishingfleet_firms"
"MH","MHL","flag_wcpfc","fishingfleet_firms"
"MP","MNP","flag_wcpfc","fishingfleet_firms"
"MX","MEX","flag_wcpfc","fishingfleet_firms"
"NC","EUFRA","flag_wcpfc","fishingfleet_firms"
"NR","NRU","flag_wcpfc","fishingfleet_firms"
"NU","NIU","flag_wcpfc","fishingfleet_firms"
"NZ","NZL","flag_wcpfc","fishingfleet_firms"
"PF","EUFRA","flag_wcpfc","fishingfleet_firms"
"PG","PNG","flag_wcpfc","fishingfleet_firms"
"PH","PHL","flag_wcpfc","fishingfleet_firms"
"PT","EUPRT","flag_wcpfc","fishingfleet_firms"
"PW","PLW","flag_wcpfc","fishingfleet_firms"
"RU","RUS","flag_wcpfc","fishingfleet_firms"
"SB","SLB","flag_wcpfc","fishingfleet_firms"
"SN","SEN","flag_wcpfc","fishingfleet_firms"
"SU","SUN","flag_wcpfc","fishingfleet_firms"
"SV","SLV","flag_wcpfc","fishingfleet_firms"
"TK","TKM","flag_wcpfc","fishingfleet_firms"
"TO","TON","flag_wcpfc","fishingfleet_firms"
"TV","TUV","flag_wcpfc","fishingfleet_firms"
"TW","TWN","flag_wcpfc","fishingfleet_firms"
"UNK","NEI","flag_wcpfc","fishingfleet_firms"
"US","USA","flag_wcpfc","fishingfleet_firms"
"VN","VNM","flag_wcpfc","fishingfleet_firms"
"VU","VUT","flag_wcpfc","fishingfleet_firms"
"WF","WLF","flag_wcpfc","fishingfleet_firms"
"WN","NEI","flag_wcpfc","fishingfleet_firms"
"WS","WSM","flag_wcpfc","fishingfleet_firms"
"XX","NEI","flag_wcpfc","fishingfleet_firms"
