"src_code","trg_code","src_codingsystem","trg_codingsystem"
"FPN","08.1","gear_iattc","isscfg_revision_1"
"GN","07.9","gear_iattc","isscfg_revision_1"
"HAR","10.1","gear_iattc","isscfg_revision_1"
"LL","09.32","gear_iattc","isscfg_revision_1"
"LP","09.1","gear_iattc","isscfg_revision_1"
"LTL","09.5","gear_iattc","isscfg_revision_1"
"LX","09.9","gear_iattc","isscfg_revision_1"
"MO","10.9","gear_iattc","isscfg_revision_1"
"NK","99.9","gear_iattc","isscfg_revision_1"
"OTR","10.9","gear_iattc","isscfg_revision_1"
"PS","01.1","gear_iattc","isscfg_revision_1"
"RG","10.9","gear_iattc","isscfg_revision_1"
"TX","03.9","gear_iattc","isscfg_revision_1"
"LHP","09.1","gear_iattc","isscfg_revision_1"
"LLX","09.39","gear_iattc","isscfg_revision_1"
"UNK","99.9","gear_iattc","isscfg_revision_1"
