src_code,trg_code,src_codingsystem,trg_codingsystem
BB,09.2,gear_iotc,isscfg_revision_1
BBM,09.2,gear_iotc,isscfg_revision_1
BBN,09.1,gear_iotc,isscfg_revision_1
BBPS,09.2,gear_iotc,isscfg_revision_1
BS,02.1,gear_iotc,isscfg_revision_1
CN,06.1,gear_iotc,isscfg_revision_1
DDSEI,02.2,gear_iotc,isscfg_revision_1
DSEI,02.2,gear_iotc,isscfg_revision_1
ELL,09.32,gear_iotc,isscfg_revision_1
FLL,09.32,gear_iotc,isscfg_revision_1
FN,06.9,gear_iotc,isscfg_revision_1
G/L,07.9,gear_iotc,isscfg_revision_1
GIHA,07.9,gear_iotc,isscfg_revision_1
GIHT,07.9,gear_iotc,isscfg_revision_1
GILL,07.9,gear_iotc,isscfg_revision_1
GIOF,07.2,gear_iotc,isscfg_revision_1
GL,07.9,gear_iotc,isscfg_revision_1
HAND,09.1,gear_iotc,isscfg_revision_1
HATR,09.1,gear_iotc,isscfg_revision_1
HOOK,09.9,gear_iotc,isscfg_revision_1
LG,07.9,gear_iotc,isscfg_revision_1
LIFT,05.9,gear_iotc,isscfg_revision_1
LINE,10.9,gear_iotc,isscfg_revision_1
LL,09.32,gear_iotc,isscfg_revision_1
LLCO,09.9,gear_iotc,isscfg_revision_1
LLEX,09.32,gear_iotc,isscfg_revision_1
LLOB,09.32,gear_iotc,isscfg_revision_1
LLTR,09.39,gear_iotc,isscfg_revision_1
OTHER,10.9,gear_iotc,isscfg_revision_1
PS,01.1,gear_iotc,isscfg_revision_1
PSS,01.1,gear_iotc,isscfg_revision_1
RIN,01.2,gear_iotc,isscfg_revision_1
SLL,09.32,gear_iotc,isscfg_revision_1
SPOR,10.9,gear_iotc,isscfg_revision_1
TRAP,08.9,gear_iotc,isscfg_revision_1
TRAW,03.9,gear_iotc,isscfg_revision_1
TROL,09.5,gear_iotc,isscfg_revision_1
TROLM,09.5,gear_iotc,isscfg_revision_1
TROLN,09.5,gear_iotc,isscfg_revision_1
UNCL,99.9,gear_iotc,isscfg_revision_1
HABBTR,09.1,gear_iotc,isscfg_revision_1
HLOF,09.1,gear_iotc,isscfg_revision_1
RNOF,01.2,gear_iotc,isscfg_revision_1
RRBB,09.2,gear_iotc,isscfg_revision_1
HARP,10.1,gear_iotc,isscfg_revision_1
DL,09.1,gear_iotc,isscfg_revision_1
BBOF,09.2,gear_iotc,isscfg_revision_1
LLF,09.31,gear_iotc,isscfg_revision_1
RR,09.1,gear_iotc,isscfg_revision_1
TROT,09.31,gear_iotc,isscfg_revision_1
