"src_code","trg_code","src_codingsystem","trg_codingsystem"
"D","07.2","gear_wcpfc","isscfg_revision_1"
"G","07.2","gear_wcpfc","isscfg_revision_1"
"H","09.1","gear_wcpfc","isscfg_revision_1"
"K","09.9","gear_wcpfc","isscfg_revision_1"
"L","09.31","gear_wcpfc","isscfg_revision_1"
"N","07.2","gear_wcpfc","isscfg_revision_1"
"O","10.9","gear_wcpfc","isscfg_revision_1"
"P","09.1","gear_wcpfc","isscfg_revision_1"
"R","01.1","gear_wcpfc","isscfg_revision_1"
"S","01.1","gear_wcpfc","isscfg_revision_1"
"T","09.5","gear_wcpfc","isscfg_revision_1"
