src_code,trg_code,src_codingsystem,trg_codingsystem
AGN,SHK,species_asfis,speciesgroup_tunaatlas
ALB,TUNTEMP,species_asfis,speciesgroup_tunaatlas
ALI,BOFOT,species_asfis,speciesgroup_tunaatlas
ALM,BOFOT,species_asfis,speciesgroup_tunaatlas
ALS,SHK,species_asfis,speciesgroup_tunaatlas
ALV,SHK,species_asfis,speciesgroup_tunaatlas
AMB,BOFOT,species_asfis,speciesgroup_tunaatlas
AML,SHK,species_asfis,speciesgroup_tunaatlas
AMX,BOFOT,species_asfis,speciesgroup_tunaatlas
API,SHK,species_asfis,speciesgroup_tunaatlas
ASK,SHK,species_asfis,speciesgroup_tunaatlas
ASM,SPMA,species_asfis,speciesgroup_tunaatlas
BAR,BOFOT,species_asfis,speciesgroup_tunaatlas
BAU,BONMACK,species_asfis,speciesgroup_tunaatlas
BBM,SPMA,species_asfis,speciesgroup_tunaatlas
BEP,BONMACK,species_asfis,speciesgroup_tunaatlas
BET,TUNTROP,species_asfis,speciesgroup_tunaatlas
BFT,TUNTEMP,species_asfis,speciesgroup_tunaatlas
BIL,BILLFIS,species_asfis,speciesgroup_tunaatlas
BIP,BONMACK,species_asfis,speciesgroup_tunaatlas
BIS,BOFOT,species_asfis,speciesgroup_tunaatlas
BKJ,TUNNER,species_asfis,speciesgroup_tunaatlas
BLF,TUNTROP,species_asfis,speciesgroup_tunaatlas
BLM,BILLFIS,species_asfis,speciesgroup_tunaatlas
BLR,SHK,species_asfis,speciesgroup_tunaatlas
BLT,TUNNER,species_asfis,speciesgroup_tunaatlas
BON,BONMACK,species_asfis,speciesgroup_tunaatlas
BOP,BONMACK,species_asfis,speciesgroup_tunaatlas
BRA,BOFOT,species_asfis,speciesgroup_tunaatlas
BRO,SHK,species_asfis,speciesgroup_tunaatlas
BRS,SPMA,species_asfis,speciesgroup_tunaatlas
BSF,BOFOT,species_asfis,speciesgroup_tunaatlas
BSH,SHK,species_asfis,speciesgroup_tunaatlas
BSK,SHK,species_asfis,speciesgroup_tunaatlas
BTH,SHK,species_asfis,speciesgroup_tunaatlas
BUK,SCOOT,species_asfis,speciesgroup_tunaatlas
BUM,BILLFIS,species_asfis,speciesgroup_tunaatlas
BVV,BOFOT,species_asfis,speciesgroup_tunaatlas
BXQ,BILLFIS,species_asfis,speciesgroup_tunaatlas
BZX,BONMACK,species_asfis,speciesgroup_tunaatlas
CCA,SHK,species_asfis,speciesgroup_tunaatlas
CCB,SHK,species_asfis,speciesgroup_tunaatlas
CCD,SHK,species_asfis,speciesgroup_tunaatlas
CCE,SHK,species_asfis,speciesgroup_tunaatlas
CCG,SHK,species_asfis,speciesgroup_tunaatlas
CCL,SHK,species_asfis,speciesgroup_tunaatlas
CCM,SHK,species_asfis,speciesgroup_tunaatlas
CCN,SHK,species_asfis,speciesgroup_tunaatlas
CCO,SHK,species_asfis,speciesgroup_tunaatlas
CCP,SHK,species_asfis,speciesgroup_tunaatlas
CCQ,SHK,species_asfis,speciesgroup_tunaatlas
CCR,SHK,species_asfis,speciesgroup_tunaatlas
CCS,SHK,species_asfis,speciesgroup_tunaatlas
CCT,SHK,species_asfis,speciesgroup_tunaatlas
CCY,SHK,species_asfis,speciesgroup_tunaatlas
CER,SPMA,species_asfis,speciesgroup_tunaatlas
CFB,SHK,species_asfis,speciesgroup_tunaatlas
CFW,BOFOT,species_asfis,speciesgroup_tunaatlas
CGX,BOFOT,species_asfis,speciesgroup_tunaatlas
CHY,SPMA,species_asfis,speciesgroup_tunaatlas
CLD,SHK,species_asfis,speciesgroup_tunaatlas
CNT,BOFOT,species_asfis,speciesgroup_tunaatlas
COM,SPMA,species_asfis,speciesgroup_tunaatlas
CPL,SHK,species_asfis,speciesgroup_tunaatlas
CTK,SHK,species_asfis,speciesgroup_tunaatlas
CUT,BOFOT,species_asfis,speciesgroup_tunaatlas
CVJ,BOFOT,species_asfis,speciesgroup_tunaatlas
CVX,SHK,species_asfis,speciesgroup_tunaatlas
CWZ,SHK,species_asfis,speciesgroup_tunaatlas
CXS,BOFOT,species_asfis,speciesgroup_tunaatlas
CYO,SHK,species_asfis,speciesgroup_tunaatlas
CYP,SHK,species_asfis,speciesgroup_tunaatlas
DBM,SCOOT,species_asfis,speciesgroup_tunaatlas
DCA,SHK,species_asfis,speciesgroup_tunaatlas
DGH,SHK,species_asfis,speciesgroup_tunaatlas
DGS,SHK,species_asfis,speciesgroup_tunaatlas
DGX,SHK,species_asfis,speciesgroup_tunaatlas
DGZ,SHK,species_asfis,speciesgroup_tunaatlas
DIY,BOFOT,species_asfis,speciesgroup_tunaatlas
DOB,BOFOT,species_asfis,speciesgroup_tunaatlas
