src_code,trg_code,src_codingsystem,trg_codingsystem
ALB,ALB,species_iattc,species_asfis
BET,BET,species_iattc,species_asfis
BIL,BIL,species_iattc,species_asfis
BKJ,BKJ,species_iattc,species_asfis
BLM,BLM,species_iattc,species_asfis
BSH,BSH,species_iattc,species_asfis
BUM,BUM,species_iattc,species_asfis
BZX,BZX,species_iattc,species_asfis
CCL,CCL,species_iattc,species_asfis
CGX,CGX,species_iattc,species_asfis
DOX,DOX,species_iattc,species_asfis
FAL,FAL,species_iattc,species_asfis
MAK,MAK,species_iattc,species_asfis
MLS,MLS,species_iattc,species_asfis
MZZ,MZZ,species_iattc,species_asfis
OCS,OCS,species_iattc,species_asfis
PBF,PBF,species_iattc,species_asfis
RSK,RSK,species_iattc,species_asfis
SBF,SBF,species_iattc,species_asfis
SFA,SFA,species_iattc,species_asfis
SKH,SKH,species_iattc,species_asfis
SKJ,SKJ,species_iattc,species_asfis
SKX,SKX,species_iattc,species_asfis
SMA,SMA,species_iattc,species_asfis
SPL,SPL,species_iattc,species_asfis
SPN,SPN,species_iattc,species_asfis
SPZ,SPZ,species_iattc,species_asfis
SRX,SRX,species_iattc,species_asfis
SSP,SSP,species_iattc,species_asfis
SWO,SWO,species_iattc,species_asfis
THR,THR,species_iattc,species_asfis
TUN,TUN,species_iattc,species_asfis
YFT,YFT,species_iattc,species_asfis
SEPN,BLR,species_iattc,species_asfis
WAH,WAH,species_iattc,species_asfis
BXQ,BXQ,species_iattc,species_asfis
