src_code,trg_code,src_codingsystem,trg_codingsystem
AGN,AGN,species_iccat,species_asfis
ALB,ALB,species_iccat,species_asfis
ALM,ALM,species_iccat,species_asfis
ALS,ALS,species_iccat,species_asfis
ALV,ALV,species_iccat,species_asfis
AMB,AMB,species_iccat,species_asfis
AMX,AMX,species_iccat,species_asfis
API,API,species_iccat,species_asfis
ASK,ASK,species_iccat,species_asfis
ASM,ASM,species_iccat,species_asfis
BAU,BAU,species_iccat,species_asfis
BBM,BBM,species_iccat,species_asfis
BEP,BEP,species_iccat,species_asfis
BET,BET,species_iccat,species_asfis
BFT,BFT,species_iccat,species_asfis
BIL,BIL,species_iccat,species_asfis
BIP,BIP,species_iccat,species_asfis
BKJ,BKJ,species_iccat,species_asfis
BLF,BLF,species_iccat,species_asfis
BLM,BLM,species_iccat,species_asfis
BLR,BLR,species_iccat,species_asfis
BLT,BLT,species_iccat,species_asfis
BON,BON,species_iccat,species_asfis
BOP,BOP,species_iccat,species_asfis
BRO,BRO,species_iccat,species_asfis
BRS,BRS,species_iccat,species_asfis
BSF,BSF,species_iccat,species_asfis
BSH,BSH,species_iccat,species_asfis
BSK,BSK,species_iccat,species_asfis
BTH,BTH,species_iccat,species_asfis
BUK,BUK,species_iccat,species_asfis
BUM,BUM,species_iccat,species_asfis
CCA,CCA,species_iccat,species_asfis
CCB,CCB,species_iccat,species_asfis
CCE,CCE,species_iccat,species_asfis
CCG,CCG,species_iccat,species_asfis
CCL,CCL,species_iccat,species_asfis
CCN,CCN,species_iccat,species_asfis
CCO,CCO,species_iccat,species_asfis
CCP,CCP,species_iccat,species_asfis
CCR,CCR,species_iccat,species_asfis
CCS,CCS,species_iccat,species_asfis
CCT,CCT,species_iccat,species_asfis
CER,CER,species_iccat,species_asfis
CFB,CFB,species_iccat,species_asfis
CFW,CFW,species_iccat,species_asfis
CHY,CHY,species_iccat,species_asfis
CNT,CNT,species_iccat,species_asfis
COM,COM,species_iccat,species_asfis
CPL,CPL,species_iccat,species_asfis
CTK,CTK,species_iccat,species_asfis
CUT,CUT,species_iccat,species_asfis
CVJ,CVJ,species_iccat,species_asfis
CVX,CVX,species_iccat,species_asfis
CYO,CYO,species_iccat,species_asfis
CYP,CYP,species_iccat,species_asfis
DBM,DBM,species_iccat,species_asfis
DCA,DCA,species_iccat,species_asfis
DGH,DGH,species_iccat,species_asfis
DGS,DGS,species_iccat,species_asfis
DGX,DGX,species_iccat,species_asfis
DGZ,DGZ,species_iccat,species_asfis
DIY,DIY,species_iccat,species_asfis
DOL,DOL,species_iccat,species_asfis
DOP,DOP,species_iccat,species_asfis
DOT,DOT,species_iccat,species_asfis
DUS,DUS,species_iccat,species_asfis
ETR,ETR,species_iccat,species_asfis
ETX,ETX,species_iccat,species_asfis
FAL,FAL,species_iccat,species_asfis
FLY,FLY,species_iccat,species_asfis
FRI,FRI,species_iccat,species_asfis
FRZ,FRZ,species_iccat,species_asfis
GAG,GAG,species_iccat,species_asfis
GAR,GAR,species_iccat,species_asfis
GAU,GAU,species_iccat,species_asfis
GBA,GBA,species_iccat,species_asfis
GES,GES,species_iccat,species_asfis
GNC,GNC,species_iccat,species_asfis
GNG,GNG,species_iccat,species_asfis
GSK,GSK,species_iccat,species_asfis
GUP,GUP,species_iccat,species_asfis
GUQ,GUQ,species_iccat,species_asfis
GUT,GUT,species_iccat,species_asfis
HXT,HXT,species_iccat,species_asfis
ISB,ISB,species_iccat,species_asfis
KAK,KAK,species_iccat,species_asfis
KAW,KAW,species_iccat,species_asfis
KGM,KGM,species_iccat,species_asfis
KGX,KGX,species_iccat,species_asfis
KOS,KOS,species_iccat,species_asfis
LAG,LAG,species_iccat,species_asfis
LEB,LEB,species_iccat,species_asfis
LEC,LEC,species_iccat,species_asfis
LEE,LEE,species_iccat,species_asfis
LES,LES,species_iccat,species_asfis
LMA,LMA,species_iccat,species_asfis
LMD,LMD,species_iccat,species_asfis
LMP,LMP,species_iccat,species_asfis
LOT,LOT,species_iccat,species_asfis
LTA,LTA,species_iccat,species_asfis
MAC,MAC,species_iccat,species_asfis
MAK,MAK,species_iccat,species_asfis
MAN,MAN,species_iccat,species_asfis
MAS,MAS,species_iccat,species_asfis
MAW,MAW,species_iccat,species_asfis
MLS,MLS,species_iccat,species_asfis
MOS,MOS,species_iccat,species_asfis
MOX,MOX,species_iccat,species_asfis
MRW,MRW,species_iccat,species_asfis
MSK,MSK,species_iccat,species_asfis
MSP,MSP,species_iccat,species_asfis
NAU,NAU,species_iccat,species_asfis
NEN,NEN,species_iccat,species_asfis
NGB,NGB,species_iccat,species_asfis
NPH,NPH,species_iccat,species_asfis
NTC,NTC,species_iccat,species_asfis
OCS,OCS,species_iccat,species_asfis
OIL,OIL,species_iccat,species_asfis
OXN,OXN,species_iccat,species_asfis
OXY,OXY,species_iccat,species_asfis
PAP,PAP,species_iccat,species_asfis
PLS,PLS,species_iccat,species_asfis
POA,POA,species_iccat,species_asfis
POR,POR,species_iccat,species_asfis
PSK,PSK,species_iccat,species_asfis
PTH,PTH,species_iccat,species_asfis
PTM,PTM,species_iccat,species_asfis
QUB,QUB,species_iccat,species_asfis
