src_code,trg_code,src_codingsystem,trg_codingsystem
AGN,AGN,species_iotc,species_asfis
ALB,ALB,species_iotc,species_asfis
ALI,ALI,species_iotc,species_asfis
ALS,ALS,species_iotc,species_asfis
ALV,ALV,species_iotc,species_asfis
AMB,AMB,species_iotc,species_asfis
AML,AML,species_iotc,species_asfis
AMX,AMX,species_iotc,species_asfis
ASM,ASM,species_iotc,species_asfis
BAR,BAR,species_iotc,species_asfis
BAU,BAU,species_iotc,species_asfis
BBM,BBM,species_iotc,species_asfis
BET,BET,species_iotc,species_asfis
BFT,BFT,species_iotc,species_asfis
BIL,BIL,species_iotc,species_asfis
BIP,BIP,species_iotc,species_asfis
BIS,BIS,species_iotc,species_asfis
BLM,BLM,species_iotc,species_asfis
BLR,BLR,species_iotc,species_asfis
BLT,BLT,species_iotc,species_asfis
BRA,BRA,species_iotc,species_asfis
BRO,BRO,species_iotc,species_asfis
BSH,BSH,species_iotc,species_asfis
BTH,BTH,species_iotc,species_asfis
BUK,BUK,species_iotc,species_asfis
BUM,BUM,species_iotc,species_asfis
BVV,BVV,species_iotc,species_asfis
BXQ,BXQ,species_iotc,species_asfis
CCB,CCB,species_iotc,species_asfis
CCD,CCD,species_iotc,species_asfis
CCE,CCE,species_iotc,species_asfis
CCG,CCG,species_iotc,species_asfis
CCL,CCL,species_iotc,species_asfis
CCM,CCM,species_iotc,species_asfis
CCP,CCP,species_iotc,species_asfis
CCQ,CCQ,species_iotc,species_asfis
CCY,CCY,species_iotc,species_asfis
CFW,CFW,species_iotc,species_asfis
CLD,CLD,species_iotc,species_asfis
COM,COM,species_iotc,species_asfis
CWZ,CWZ,species_iotc,species_asfis
CXS,CXS,species_iotc,species_asfis
DGZ,DGZ,species_iotc,species_asfis
DOB,DOB,species_iotc,species_asfis
DOL,DOL,species_iotc,species_asfis
DOT,DOT,species_iotc,species_asfis
DOX,DOX,species_iotc,species_asfis
DUS,DUS,species_iotc,species_asfis
EAG,EAG,species_iotc,species_asfis
EJA,EJA,species_iotc,species_asfis
FAL,FAL,species_iotc,species_asfis
FLY,FLY,species_iotc,species_asfis
FRI,FRI,species_iotc,species_asfis
FRZ,FRZ,species_iotc,species_asfis
GAG,GAG,species_iotc,species_asfis
GAM,GAM,species_iotc,species_asfis
GEP,GEP,species_iotc,species_asfis
GRO,GRO,species_iotc,species_asfis
GUT,GUT,species_iotc,species_asfis
HCM,HCM,species_iotc,species_asfis
HEE,HEE,species_iotc,species_asfis
IAX,IAX,species_iotc,species_asfis
KAK,KAK,species_iotc,species_asfis
KAW,KAW,species_iotc,species_asfis
KGX,KGX,species_iotc,species_asfis
LAG,LAG,species_iotc,species_asfis
LEC,LEC,species_iotc,species_asfis
LMA,LMA,species_iotc,species_asfis
LOT,LOT,species_iotc,species_asfis
MAA,MAA,species_iotc,species_asfis
MAK,MAK,species_iotc,species_asfis
MLS,MLS,species_iotc,species_asfis
MOO,MOO,species_iotc,species_asfis
MSD,MSD,species_iotc,species_asfis
MSK,MSK,species_iotc,species_asfis
MZZ,MZZ,species_iotc,species_asfis
NTC,NTC,species_iotc,species_asfis
OCS,OCS,species_iotc,species_asfis
OIL,OIL,species_iotc,species_asfis
OXY,OXY,species_iotc,species_asfis
PLS,PLS,species_iotc,species_asfis
POL,POL,species_iotc,species_asfis
POR,POR,species_iotc,species_asfis
PSK,PSK,species_iotc,species_asfis
PTH,PTH,species_iotc,species_asfis
RAG,RAG,species_iotc,species_asfis
RAX,RAX,species_iotc,species_asfis
RHA,RHA,species_iotc,species_asfis
RHN,RHN,species_iotc,species_asfis
RMB,RMB,species_iotc,species_asfis
RMM,RMM,species_iotc,species_asfis
RRU,RRU,species_iotc,species_asfis
RSK,RSK,species_iotc,species_asfis
SBF,SBF,species_iotc,species_asfis
SBL,SBL,species_iotc,species_asfis
SCK,SCK,species_iotc,species_asfis
SFA,SFA,species_iotc,species_asfis
SHM,SHM,species_iotc,species_asfis
SKH,SKH,species_iotc,species_asfis
SKJ,SKJ,species_iotc,species_asfis
SLT,SLT,species_iotc,species_asfis
SMA,SMA,species_iotc,species_asfis
SMD,SMD,species_iotc,species_asfis
SNK,SNK,species_iotc,species_asfis
SPF,SPF,species_iotc,species_asfis
SPK,SPK,species_iotc,species_asfis
SPL,SPL,species_iotc,species_asfis
SPN,SPN,species_iotc,species_asfis
SPY,SPY,species_iotc,species_asfis
SPZ,SPZ,species_iotc,species_asfis
SRX,SRX,species_iotc,species_asfis
SSP,SSP,species_iotc,species_asfis
STS,STS,species_iotc,species_asfis
SWA,SWA,species_iotc,species_asfis
SWO,SWO,species_iotc,species_asfis
THR,THR,species_iotc,species_asfis
TIG,TIG,species_iotc,species_asfis
TRB,TRB,species_iotc,species_asfis
TRK,TRK,species_iotc,species_asfis
TUN,TUN,species_iotc,species_asfis
TUS,TUS,species_iotc,species_asfis
TUX,TUX,species_iotc,species_asfis
WAH,WAH,species_iotc,species_asfis
WHM,WHM,species_iotc,species_asfis
YFT,YFT,species_iotc,species_asfis
YRS,YRS,species_iotc,species_asfis
YTC,YTC,species_iotc,species_asfis
CCO,CCO,species_iotc,species_asfis
CCW,AML,species_iotc,species_asfis
GES,GES,species_iotc,species_asfis
LTA,LTA,species_iotc,species_asfis
TRE,TRE,species_iotc,species_asfis
CGX,CGX,species_iotc,species_asfis
CNT,CNT,species_iotc,species_asfis
GBA,GBA,species_iotc,species_asfis
GLT,GLT,species_iotc,species_asfis
GTF,GTF,species_iotc,species_asfis
LHT,LHT,species_iotc,species_asfis
MAN,MAN,species_iotc,species_asfis
QUM,QUM,species_iotc,species_asfis
SAI,SAI,species_iotc,species_asfis
WEC,WEC,species_iotc,species_asfis
TRU,TRU,species_iotc,species_asfis
TUM,TUM,species_iotc,species_asfis
RUS,RUS,species_iotc,species_asfis
BSX,BSX,species_iotc,species_asfis
SNX,SNX,species_iotc,species_asfis
CGD,CGD,species_iotc,species_asfis
FLE,FLE,species_iotc,species_asfis
KYC,KYC,species_iotc,species_asfis
KYV,KYV,species_iotc,species_asfis
BAO,BAO,species_iotc,species_asfis
BAT,BAT,species_iotc,species_asfis
ALN,ALN,species_iotc,species_asfis
ALM,ALM,species_iotc,species_asfis
LOB,LOB,species_iotc,species_asfis
CAT,CAT,species_iotc,species_asfis
CUT,CUT,species_iotc,species_asfis
BAF,BAF,species_iotc,species_asfis
